public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,divyield_Median,pe_exi_Median,ptb_Median,gpm_Median,roa_Median,roe_Median
20110731,Industrials,531,-0.023877,-0.064741,0.023,0.544,1.64%,15.576,1.639,0.288,0.121,0.087
20110731,Information Technology,680,-0.049232,0.000081,0.000,0.415,1.75%,12.182,2.041,0.498,0.110,0.081
20110731,Materials,188,-0.020108,-0.020592,0.119,0.499,1.72%,14.220,1.878,0.278,0.141,0.119
20110731,Telecommunication Services,47,-0.084176,-0.053540,0.338,0.570,5.77%,12.453,1.892,0.580,0.144,0.032
20110731,Utilities,98,-0.009405,-0.011133,0.628,0.894,4.15%,14.444,1.112,0.260,0.092,0.074
20110831,Consumer Discretionary,544,-0.096778,-0.060951,0.000,0.554,2.16%,12.520,1.508,0.372,0.131,0.102
20110831,Consumer Staples,156,-0.062911,0.004934,0.208,0.539,2.63%,13.754,1.574,0.345,0.148,0.128
20110831,Energy,207,-0.149422,-0.099681,0.000,0.589,1.00%,10.404,1.618,0.463,0.128,0.050
20110831,Financials,732,-0.077575,-0.099567,0.382,1.092,2.67%,11.111,0.828,0.595,0.019,0.056
20110831,Health Care,545,-0.110231,-0.037988,0.000,0.343,1.67%,-1.448,2.533,0.397,0.061,-0.001
20110831,Industrials,531,-0.089806,-0.070892,0.007,0.587,1.83%,14.152,1.469,0.286,0.121,0.087
20110831,Information Technology,675,-0.101240,-0.064752,0.000,0.449,1.91%,10.938,1.828,0.501,0.110,0.079
20110831,Materials,189,-0.099574,-0.062745,0.129,0.547,1.93%,11.524,1.557,0.277,0.141,0.121
20110831,Telecommunication Services,47,-0.060672,-0.019302,0.295,0.517,5.70%,13.066,1.627,0.577,0.144,0.043
20110831,Utilities,98,0.009293,0.017243,0.628,0.907,4.03%,15.174,1.140,0.257,0.091,0.072
20110930,Consumer Discretionary,547,-0.100212,-0.075413,0.000,0.558,2.35%,11.576,1.386,0.372,0.130,0.104
20110930,Consumer Staples,157,-0.066020,-0.033509,0.194,0.529,2.71%,12.979,1.555,0.343,0.146,0.127
20110930,Energy,210,-0.194632,-0.124055,0.000,0.585,1.33%,8.536,1.259,0.463,0.129,0.053
20110930,Financials,732,-0.083736,-0.116150,0.380,1.088,2.89%,10.204,0.763,0.596,0.019,0.056
20110930,Health Care,545,-0.091412,-0.046367,0.000,0.341,1.78%,-1.225,2.341,0.396,0.057,-0.001
20110930,Industrials,530,-0.133415,-0.102433,0.011,0.589,2.04%,12.149,1.284,0.286,0.121,0.088
20110930,Information Technology,674,-0.105109,-0.043452,0.000,0.453,2.09%,9.639,1.597,0.501,0.108,0.079
20110930,Materials,188,-0.165993,-0.162630,0.129,0.555,2.14%,9.120,1.326,0.276,0.140,0.118
20110930,Telecommunication Services,48,-0.141251,-0.024588,0.252,0.519,6.03%,10.637,1.249,0.580,0.148,0.043
20110930,Utilities,98,-0.038960,-0.007437,0.628,0.907,4.14%,14.555,1.066,0.257,0.091,0.072
20111031,Consumer Discretionary,547,0.126893,0.127005,0.000,0.564,2.15%,12.998,1.556,0.372,0.130,0.104
20111031,Consumer Staples,156,0.081523,0.046440,0.212,0.542,2.57%,14.053,1.673,0.353,0.145,0.128
20111031,Energy,211,0.242870,0.171776,0.000,0.589,1.14%,10.356,1.572,0.463,0.129,0.052
20111031,Financials,729,0.088219,0.139003,0.380,1.086,2.61%,11.173,0.820,0.596,0.019,0.056
20111031,Health Care,543,0.093426,0.061301,0.000,0.341,1.81%,-1.425,2.477,0.398,0.053,-0.002
20111031,Industrials,526,0.152726,0.149704,0.014,0.595,1.75%,14.297,1.482,0.287,0.121,0.089
20111031,Information Technology,668,0.128233,0.120618,0.000,0.455,1.81%,10.896,1.880,0.501,0.110,0.085
20111031,Materials,186,0.166324,0.173271,0.118,0.559,1.94%,11.174,1.588,0.274,0.140,0.118
20111031,Telecommunication Services,48,0.093092,0.031698,0.252,0.519,5.89%,11.357,1.381,0.580,0.148,0.043
20111031,Utilities,97,0.052928,0.042197,0.629,0.902,3.96%,15.518,1.132,0.258,0.090,0.072
20111130,Consumer Discretionary,547,-0.023326,-0.016697,0.000,0.646,2.09%,12.734,1.557,0.371,0.127,0.100
20111130,Consumer Staples,157,-0.022772,0.024450,0.192,0.573,2.50%,14.197,1.729,0.344,0.144,0.111
20111130,Energy,211,0.005289,0.020844,0.000,0.846,1.30%,11.428,1.503,0.457,0.136,0.065
20111130,Financials,728,-0.013464,-0.040628,0.347,1.292,2.73%,11.559,0.822,0.621,0.019,0.058
20111130,Health Care,536,-0.026033,0.009921,0.000,0.410,1.90%,-1.132,2.391,0.387,0.057,-0.014
20111130,Industrials,520,-0.005415,0.010741,0.022,0.758,1.77%,14.624,1.431,0.281,0.120,0.094
20111130,Information Technology,669,-0.035422,-0.018070,0.000,0.599,1.91%,11.351,1.841,0.502,0.105,0.073
20111130,Materials,184,0.004203,0.007616,0.110,0.733,1.74%,11.720,1.589,0.269,0.138,0.122
20111130,Telecommunication Services,48,-0.018354,0.006857,0.127,0.760,7.08%,12.500,1.357,0.583,0.144,0.049
20111130,Utilities,97,0.008293,0.010686,0.638,0.933,3.97%,15.641,1.151,0.266,0.090,0.072
20111231,Consumer Discretionary,546,0.008147,0.003708,0.000,0.669,2.14%,12.122,1.568,0.368,0.126,0.100
20111231,Consumer Staples,156,0.003689,0.025183,0.191,0.573,2.46%,14.312,1.722,0.343,0.139,0.111
20111231,Energy,207,-0.010117,-0.005432,0.000,0.857,1.42%,11.315,1.481,0.457,0.136,0.067
20111231,Financials,726,0.013450,0.015376,0.347,1.292,2.73%,11.770,0.852,0.622,0.019,0.058
20111231,Health Care,533,-0.001685,0.025183,0.000,0.409,1.89%,-1.015,2.397,0.386,0.056,-0.013
20111231,Industrials,517,0.000418,0.010018,0.023,0.769,1.82%,14.341,1.465,0.281,0.120,0.094
20111231,Information Technology,669,-0.004461,-0.011988,0.000,0.602,2.01%,11.586,1.875,0.502,0.106,0.072
20111231,Materials,184,-0.029188,-0.025685,0.111,0.742,1.81%,11.584,1.506,0.264,0.139,0.122
20111231,Telecommunication Services,47,-0.019273,0.036690,0.127,0.773,5.69%,13.245,1.383,0.584,0.142,0.048
20111231,Utilities,96,0.027884,0.032189,0.637,0.934,3.84%,16.099,1.152,0.266,0.090,0.072
20120131,Consumer Discretionary,547,0.090566,0.069620,0.000,0.664,2.10%,12.823,1.713,0.369,0.126,0.100
20120131,Consumer Staples,155,0.048690,-0.009353,0.191,0.573,2.51%,14.968,1.738,0.340,0.142,0.112
